county,2016,2017,2018,2019,2020,2021
"Walworth County, South Dakota",4283,4238,4217,4199,4189,4124
"Yankton County, South Dakota",17817,17844,17884,17905,17933,18256
"Ziebach County, South Dakota",1829,1881,1914,1945,1972,1792
"Anderson County, Tennessee",59639,59575,59771,59971,60334,60288
"Bedford County, Tennessee",34244,34786,35309,36007,36460,37131
"Benton County, Tennessee",13038,12945,13034,12991,12932,12763
"Bledsoe County, Tennessee",11220,12033,12233,12004,12695,12628
"Blount County, Tennessee",99537,100567,101898,103394,105091,106941
"Bradley County, Tennessee",79815,80456,81352,82395,83555,84129
"Campbell County, Tennessee",31774,31694,31471,31574,31651,31238
"Cannon County, Tennessee",10976,10882,11007,11159,11304,11214
"Carroll County, Tennessee",22356,22133,22038,21929,21853,22182
"Carter County, Tennessee",45721,45660,45677,45875,46102,45989
"Cheatham County, Tennessee",30263,30497,30855,31273,31625,31918
"Chester County, Tennessee",13440,13171,13285,13315,13456,13464
"Claiborne County, Tennessee",25582,25525,25647,25709,25861,25852
"Clay County, Tennessee",6261,6167,6157,6104,6064,6026
"Cocke County, Tennessee",27949,27997,27991,28242,28494,28464
"Coffee County, Tennessee",40859,41040,41398,41978,42613,43301
"Crockett County, Tennessee",10989,11003,11008,10955,10916,10631
"Cumberland County, Tennessee",47432,47729,48065,48702,49533,49944
"Davidson County, Tennessee",523948,533096,538527,542482,546693,561389
"Decatur County, Tennessee",9247,9211,9195,9182,9231,9068
"DeKalb County, Tennessee",14890,15096,15342,15515,15725,15549
"Dickson County, Tennessee",38869,39199,39709,40347,41010,41634
"Dyer County, Tennessee",28773,28671,28564,28464,28362,28086
"Fayette County, Tennessee",30912,31287,31726,32296,32870,33784
"Fentress County, Tennessee",13983,14059,14078,14361,14563,14517
"Franklin County, Tennessee",32756,32818,32982,33249,33585,34016
"Gibson County, Tennessee",37408,37176,37257,37347,37302,38015
"Giles County, Tennessee",22929,22936,23067,23172,23294,23772
"Grainger County, Tennessee",17968,18128,18217,18397,18647,18657
"Greene County, Tennessee",54819,54945,55227,55469,55678,56305
"Grundy County, Tennessee",10528,10363,10374,10450,10440,10523
"Hamblen County, Tennessee",48487,48714,48903,49194,49519,49205
"Hamilton County, Tennessee",276926,279988,282626,285626,288817,287473
"Hancock County, Tennessee",5238,5255,5245,5198,5168,5251
"Hardeman County, Tennessee",20804,20755,20577,20620,20500,20680
"Hardin County, Tennessee",20480,20437,20402,20400,20470,21207
"Hawkins County, Tennessee",44653,44691,44836,45150,45480,45592
"Haywood County, Tennessee",13847,13760,13690,13624,13475,13878
"Henderson County, Tennessee",21371,21440,21430,21589,21597,21365
"Henry County, Tennessee",25490,25495,25542,25589,25628,25693
"Hickman County, Tennessee",18996,19172,19319,19552,19771,19724
"Houston County, Tennessee",6383,6356,6385,6408,6420,6442
"Humphreys County, Tennessee",14194,14354,14530,14555,14524,14801
"Jackson County, Tennessee",9282,9415,9478,9571,9627,9551
"Jefferson County, Tennessee",41897,42004,42377,42971,43567,43703
"Johnson County, Tennessee",14756,14779,14826,14759,14749,14882
"Knox County, Tennessee",352305,355798,359359,363632,368116,374813
"Lake County, Tennessee",6477,6428,6388,6340,6229,6159
"Lauderdale County, Tennessee",20949,20335,20245,20013,19846,19677
"Lawrence County, Tennessee",31810,31927,32139,32489,32847,32911
"Lewis County, Tennessee",9252,9385,9279,9399,9537,9762
"Lincoln County, Tennessee",26018,26039,26179,26337,26533,27326
"Loudon County, Tennessee",40540,40798,41359,42044,42862,43737
"McMinn County, Tennessee",41206,41263,41463,41805,42151,41775
"McNairy County, Tennessee",20237,20166,20155,20164,20218,20247
"Macon County, Tennessee",17272,17553,17769,18047,18162,18797
"Madison County, Tennessee",75512,75550,75505,75597,75901,76173
"Marion County, Tennessee",22313,22293,22373,22501,22628,22576
"Marshall County, Tennessee",23850,24212,24599,25164,25857,25908
"Maury County, Tennessee",65508,66912,68751,70429,72605,75851
"Meigs County, Tennessee",9342,9357,9393,9623,9755,10095
"Monroe County, Tennessee",35561,35689,35948,36143,36497,36224
"Montgomery County, Tennessee",138265,140177,143435,146338,150053,157724
"Moore County, Tennessee",5086,5040,5055,5094,5160,5180
"Morgan County, Tennessee",17400,17438,17467,17368,17392,17114
"Obion County, Tennessee",24079,23914,23828,23705,23732,24008
"Overton County, Tennessee",17075,16969,17099,17216,17408,17530
"Perry County, Tennessee",6115,6158,6162,6202,6166,6428
"Pickett County, Tennessee",4168,4147,4143,4148,4119,4092
"Polk County, Tennessee",13236,13307,13394,13478,13623,14136
"Putnam County, Tennessee",58935,59634,60418,61282,62143,62291
"Rhea County, Tennessee",25003,25033,25040,25127,25466,25277
"Roane County, Tennessee",42631,42758,42844,43062,43356,43295
"Robertson County, Tennessee",50901,51545,52271,53271,54000,55000
"Rutherford County, Tennessee",217179,223825,230671,237642,244262,252487
"Scott County, Tennessee",16619,16639,16595,16661,16792,16543
"Sequatchie County, Tennessee",11411,11404,11587,11802,12051,12627
"Sevier County, Tennessee",74429,75350,76153,77173,77798,77802
"Shelby County, Tennessee",698020,700242,700758,701193,702439,695258
"Smith County, Tennessee",14596,14701,14954,15159,15424,15336
"Stewart County, Tennessee",10406,10420,10493,10563,10673,10602
"Sullivan County, Tennessee",125482,125558,125986,126473,127245,127268
"Sumner County, Tennessee",130678,133212,136432,139881,143486,147437
"Tipton County, Tennessee",45735,45839,46060,46303,46548,45939
"Trousdale County, Tennessee",6126,6907,7677,8301,8917,9383
"Unicoi County, Tennessee",14498,14440,14539,14726,14886,14850
"Union County, Tennessee",14797,14915,15071,15243,15402,15305
"Van Buren County, Tennessee",4551,4610,4638,4676,4700,4917
"Warren County, Tennessee",30546,30629,30843,31074,31311,31116
"Washington County, Tennessee",101241,101665,102358,103173,104236,106773
"Wayne County, Tennessee",13798,13644,13510,13643,13745,13522
"Weakley County, Tennessee",27339,27141,27061,27029,26949,26586
"White County, Tennessee",20568,20555,20651,20829,21143,21151
"Williamson County, Tennessee",147864,153005,158117,163602,169365,176920
"Wilson County, Tennessee",95226,97748,100854,104158,107393,110461
"Anderson County, Texas",46581,46513,46648,46562,46812,47005
"Andrews County, Texas",11906,12097,12299,12348,12635,12568
"Angelina County, Texas",64742,64838,64914,64874,64922,64396
"Aransas County, Texas",20154,20119,20044,19873,19354,19445
"Archer County, Texas",6798,6841,6877,6822,6842,6669
"Armstrong County, Texas",1480,1512,1520,1517,1494,1477
"Atascosa County, Texas",34309,34722,35266,35910,36606,35395
"Austin County, Texas",21982,22212,22460,22632,22758,22953
"Bailey County, Texas",4984,5041,5068,5039,4949,5025
"Bandera County, Texas",17303,17608,18004,18406,18965,17281
"Bastrop County, Texas",58189,59709,61481,62956,64706,70555
"Baylor County, Texas",2862,2820,2791,2831,2764,2679
"Bee County, Texas",25662,25707,25742,25709,25672,24631
"Bell County, Texas",238509,242982,247128,251816,257246,263308
"Bexar County, Texas",1371360,1398786,1426741,1450476,1473589,1481866
"Blanco County, Texas",8830,9022,9222,9380,9654,9320
"Borden County, Texas",487,435,493,434,440,367
"Bosque County, Texas",14025,14053,14222,14396,14536,14390
"Bowie County, Texas",71174,71374,71596,71225,71471,70814
"Brazoria County, Texas",247314,253182,259486,265058,271173,271384
"Brazos County, Texas",166744,170001,174024,177136,179732,183018
"Brewster County, Texas",7304,7377,7434,7462,7456,7695
"Briscoe County, Texas",1297,1270,1255,1220,1123,1056
"Brooks County, Texas",5467,5266,5335,5251,5438,5366
"Brown County, Texas",29212,29214,29211,29468,29578,29806
"Burleson County, Texas",13393,13602,13863,14043,14235,13803
"Burnet County, Texas",34864,35229,35896,36579,37560,38257
"Caldwell County, Texas",30162,30771,31311,31996,32611,34617
"Calhoun County, Texas",16244,16339,16361,16313,16261,15397
"Callahan County, Texas",10344,10392,10549,10754,10897,10749
"Cameron County, Texas",286191,288225,290683,291932,293717,293318
"Camp County, Texas",9317,9310,9414,9481,9540,9189
"Carson County, Texas",4469,4513,4491,4533,4569,4446
"Cass County, Texas",23497,23249,23275,23274,23284,22227
"Castro County, Texas",5498,5547,5508,5443,5371,5265
"Chambers County, Texas",27484,28290,29005,29721,30556,32385
"Cherokee County, Texas",38174,38433,38680,38797,39095,37665
"Childress County, Texas",5632,5640,5878,5967,5871,5560
"Clay County, Texas",8139,8167,8234,8276,8339,8160
"Cochran County, Texas",2104,2091,2083,2106,2095,1860
"Coke County, Texas",2577,2575,2596,2612,2592,2571
"Coleman County, Texas",6617,6589,6562,6549,6485,6253
"Collin County, Texas",645247,668271,693356,717859,744736,770914
"Collingsworth County, Texas",2243,2289,2270,2225,2192,2189
"Colorado County, Texas",15981,16020,16128,16233,16327,15643
"Comal County, Texas",95600,99358,104157,109451,115320,120882
"Comanche County, Texas",10441,10447,10472,10510,10562,10415
"Concho County, Texas",3596,3315,3692,2770,2489,2637
"Cooke County, Texas",29454,29640,30067,30491,30794,31352
"Coryell County, Texas",56700,57500,57580,57851,58358,63129
"Cottle County, Texas",1192,1097,1076,1129,1162,1121
"Crane County, Texas",3354,3316,3333,3334,3256,3222
"Crockett County, Texas",2881,2834,2649,2638,2601,2329
"Crosby County, Texas",4340,4275,4270,4268,4254,3913
"Culberson County, Texas",1734,1728,1705,1576,1592,1663
"Dallam County, Texas",4845,4999,4962,5002,4914,4805
"Dallas County, Texas",1836309,1869331,1898783,1919530,1936816,1924278
"Dawson County, Texas",10082,9840,9800,9483,9529,9160
"Deaf Smith County, Texas",12987,12934,12963,12870,12819,12832
"Delta County, Texas",4067,4001,3995,4027,4057,3984
"Denton County, Texas",557503,580112,601971,624909,649198,668327
"DeWitt County, Texas",16026,15840,15810,15733,15655,15339
"Dickens County, Texas",1773,1736,1736,1761,1729,1245
"Dimmit County, Texas",7597,7563,7468,7369,7320,6273
"Donley County, Texas",2812,2747,2701,2674,2650,2604
"Duval County, Texas",8703,8556,8393,8368,8322,7416
"Eastland County, Texas",14365,14520,14529,14450,14420,13894
"Ector County, Texas",107505,109117,110748,112124,112956,111967
"Edwards County, Texas",1695,1796,1708,1634,1530,1145
"Ellis County, Texas",116567,119675,123325,127214,131651,137683
"El Paso County, Texas",596618,600384,605179,606560,609400,627206
"Erath County, Texas",32041,32381,32738,33090,33475,33354
"Falls County, Texas",13583,13575,13622,13600,13611,13430
"Fannin County, Texas",26629,26650,26931,27219,27627,27890
"Fayette County, Texas",19652,19761,19860,19984,20130,19505
"Fisher County, Texas",3056,3070,3076,2986,3006,2916
"Floyd County, Texas",4424,4337,4293,4247,4228,3997
"Foard County, Texas",1057,1133,1146,1044,992,892
"Fort Bend County, Texas",491809,512565,533858,553725,573586,585001
"Franklin County, Texas",7993,8057,8076,8126,8198,7916
"Freestone County, Texas",15129,15126,15163,15228,15268,15042
"Frio County, Texas",14020,14520,14775,15129,15323,14070
"Gaines County, Texas",12627,12796,13037,13250,13538,13508
"Galveston County, Texas",236954,242101,246824,251621,255674,262686
"Garza County, Texas",5399,5545,5237,5108,5194,4929
"Gillespie County, Texas",20639,20767,21002,21129,21340,21304
"Glasscock County, Texas",900,1074,1092,1167,1168,977
"Goliad County, Texas",5847,5884,5915,5927,5972,5583
"Gonzales County, Texas",14898,15008,15079,15125,15207,14402
"Gray County, Texas",17196,17111,16865,16675,16459,15972
"Grayson County, Texas",94619,96133,97983,99914,101835,102066
"Gregg County, Texas",91434,91476,91512,91508,91756,91612
"Grimes County, Texas",21090,21223,21410,21675,22107,22432
"Guadalupe County, Texas",108719,111619,115260,118633,122176,127161
"Hale County, Texas",25203,24945,24755,24618,24375,23933
"Hall County, Texas",2406,2372,2360,2370,2342,2230
"Hamilton County, Texas",6556,6541,6562,6601,6674,6397
"Hansford County, Texas",3923,3911,3914,3876,3824,3734
"Hardeman County, Texas",3016,3089,3037,3125,3168,2782
"Hardin County, Texas",41767,42127,42386,42736,43230,42189
"Harris County, Texas",3226858,3300460,3362147,3400738,3431658,3443076
"Harrison County, Texas",49578,49558,49597,49680,49789,51359
"Hartley County, Texas",4681,4566,4517,4451,4388,4293
"Haskell County, Texas",4941,4828,4691,4674,4655,4424
"Hays County, Texas",141866,149148,156653,163997,171513,180419
"Hemphill County, Texas",2825,2827,2759,2733,2768,2524
"Henderson County, Texas",61716,62252,62976,63606,64478,64093
"Hidalgo County, Texas",548906,558010,566969,573438,580139,584311
"Hill County, Texas",26638,26840,27100,27368,27713,27324
"Hockley County, Texas",17177,17114,17071,17034,16962,15977
"Hood County, Texas",42772,43583,44905,46028,47411,47723
"Hopkins County, Texas",26810,26863,27182,27396,27680,27614
"Houston County, Texas",18414,18443,18474,18456,18466,17901
"Howard County, Texas",28353,28493,28655,28313,28244,27054
"Hudspeth County, Texas",2606,2798,3118,3332,3572,2569
"Hunt County, Texas",67653,68664,70024,71636,73265,75019
"Hutchinson County, Texas",16058,16064,15974,15858,15802,15445
"Irion County, Texas",1215,1223,1168,1195,1202,1170
"Jack County, Texas",6948,6952,6976,6975,7034,6626
"Jackson County, Texas",10891,10946,11024,11043,11042,11115
"Jasper County, Texas",26995,26843,26912,26936,27085,25396
"Jeff Davis County, Texas",1805,1828,1810,1865,1917,1662
"Jefferson County, Texas",192736,194055,194261,193418,192202,194287
"Jim Hogg County, Texas",3736,3695,3623,3558,3393,3321
"Jim Wells County, Texas",29716,29618,29601,29509,29409,28434
"Johnson County, Texas",115983,118171,120757,123646,126911,130732
"Jones County, Texas",16771,16439,16394,16461,16396,16280
"Karnes County, Texas",11920,11884,12129,12308,12177,11539
"Kaufman County, Texas",80743,82970,85943,89469,93649,100645
"Kendall County, Texas",29834,30752,32128,33413,34856,33397
"Kenedy County, Texas",404,400,428,400,270,103
"Kent County, Texas",532,527,582,488,497,440
"Kerr County, Texas",40674,40828,41366,41841,42186,42311
"Kimble County, Texas",3698,3603,3519,3441,3582,3488
"King County, Texas",218,216,167,167,227,172
"Kinney County, Texas",2874,2928,3020,3189,3212,2708
"Kleberg County, Texas",24072,23820,23705,23451,23230,23469
"Knox County, Texas",2804,2725,2712,2717,2741,2526
"Lamar County, Texas",37900,37696,37741,37786,37872,37942
"Lamb County, Texas",9723,9591,9540,9457,9415,9477
"Lampasas County, Texas",15413,15660,15908,16230,16701,16819
"La Salle County, Texas",5493,5839,5788,5918,5978,5377
"Lavaca County, Texas",15051,15181,15221,15276,15331,15431
"Lee County, Texas",12893,13035,13163,13274,13405,13579
"Leon County, Texas",13062,13117,13195,13328,13412,12192
"Liberty County, Texas",58802,59530,60815,61848,63276,65369
"Limestone County, Texas",18019,18077,18135,18143,18129,17276
"Lipscomb County, Texas",2552,2540,2540,2496,2356,2173
"Live Oak County, Texas",9504,9637,9691,9712,9739,9071
"Llano County, Texas",16608,17267,17620,17887,18255,17813
"Loving County, Texas",70,67,78,73,91,52
"Lubbock County, Texas",223600,226111,228851,231747,234865,234585
"Lynn County, Texas",4220,4253,4266,4252,4312,4044
"McCulloch County, Texas",6267,6210,6232,6241,6215,5965
"McLennan County, Texas",182902,184712,186706,188969,191573,194279
"McMullen County, Texas",507,430,488,550,509,525
"Madison County, Texas",11772,11202,11103,11155,11251,10639
"Marion County, Texas",8332,8242,8236,8221,8174,7931
"Martin County, Texas",3823,3825,3860,3894,3869,3540
"Mason County, Texas",3278,3265,3276,3190,3232,3058
"Matagorda County, Texas",27143,27196,27218,27281,27257,26822
"Maverick County, Texas",38505,39062,39563,39848,39950,39703
"Medina County, Texas",36425,37114,37815,38460,39153,38813
"Menard County, Texas",1650,1743,1819,1853,1730,1609
"Midland County, Texas",112445,115230,117931,120459,122253,118478
"Milam County, Texas",18297,18363,18594,18719,18807,18933
"Mills County, Texas",3679,3771,3812,3952,4003,3642
"Mitchell County, Texas",7271,7098,6909,6835,6556,6938
"Montague County, Texas",14935,14960,14967,15022,15222,15274
"Montgomery County, Texas",379743,392548,406801,420620,434924,447816
"Moore County, Texas",15100,15040,14885,14655,14418,14641
"Morris County, Texas",9763,9646,9583,9531,9504,9183
"Motley County, Texas",814,846,846,933,1075,990
"Nacogdoches County, Texas",50119,50062,50216,50164,50013,49668
"Navarro County, Texas",35484,35544,35829,36140,36367,38205
"Newton County, Texas",11108,11238,11178,11110,11045,9860
"Nolan County, Texas",11224,11217,11074,11032,11048,10885
"Nueces County, Texas",265734,268364,270482,272002,273158,266480
"Ochiltree County, Texas",7184,7170,7077,6978,6802,6934
"Oldham County, Texas",1366,1303,1326,1390,1339,1460
"Orange County, Texas",63018,63089,63187,63219,62900,63643
"Palo Pinto County, Texas",21286,21475,21635,21854,22095,21630
"Panola County, Texas",18062,17956,17866,17823,17796,17304
"Parker County, Texas",93216,94831,97611,100668,104249,108740
"Parmer County, Texas",6997,6999,6974,6868,6876,7071
"Pecos County, Texas",11956,11984,11936,11927,11848,11424
"Polk County, Texas",37020,37284,38033,39000,40027,39337
"Potter County, Texas",88208,87729,87537,86742,85926,86355
"Presidio County, Texas",5132,5169,5186,5166,4996,4632
"Rains County, Texas",8812,8882,9170,9472,9696,9707
"Randall County, Texas",97237,98918,100527,101789,103334,105506
"Reagan County, Texas",2618,2666,2640,2535,2626,2284
"Real County, Texas",2706,2688,2705,2531,2655,2185
"Red River County, Texas",9957,9887,9812,9730,9707,9324
"Reeves County, Texas",11162,11453,11755,12057,12070,11258
"Refugio County, Texas",5594,5567,5537,5489,5386,5245
"Roberts County, Texas",654,625,608,588,600,598
"Robertson County, Texas",12497,12682,12827,12949,13041,12795
"Rockwall County, Texas",63477,65353,67935,70783,73865,76772
"Runnels County, Texas",7936,7835,7825,7881,7821,7534
"Rusk County, Texas",40784,40717,41344,41606,41971,40794
"Sabine County, Texas",8211,8558,8494,8508,8536,8125
"San Augustine County, Texas",6811,6702,6659,6644,6635,6373
"San Jacinto County, Texas",21003,21351,21697,21942,22378,21476
"San Patricio County, Texas",48496,48591,48848,48906,48968,50243
"San Saba County, Texas",4679,4648,4744,4747,4815,4617
"Schleicher County, Texas",2250,2242,2219,2194,2153,1899
"Scurry County, Texas",12856,12986,12936,12797,12733,12785
"Shackelford County, Texas",2511,2540,2527,2524,2522,2416
"Shelby County, Texas",18786,18881,18632,18696,18655,17833
"Sherman County, Texas",2321,2363,2348,2369,2343,1863
"Smith County, Texas",164884,167102,169329,171437,173774,174421
"Somervell County, Texas",6621,6623,6728,6863,6959,7156
"Starr County, Texas",41995,42323,42715,42924,42958,43958
"Stephens County, Texas",7585,7284,7263,7245,7247,7026
"Sterling County, Texas",894,810,814,807,884,890
"Stonewall County, Texas",909,826,1077,1078,1030,922
"Sutton County, Texas",2849,2904,2911,2815,2741,2373
"Swisher County, Texas",5680,5611,5584,5557,5563,5283
"Tarrant County, Texas",1419663,1449596,1479696,1506126,1531028,1542027
"Taylor County, Texas",102017,101947,102669,102988,103487,106306
"Terrell County, Texas",668,571,749,761,786,829
"Terry County, Texas",9282,9279,9155,9078,8997,8623
"Throckmorton County, Texas",1241,1222,1259,1206,1195,1142
"Titus County, Texas",23059,23145,23196,23207,23220,22181
"Tom Green County, Texas",88932,89272,89579,89950,90453,90460
"Travis County, Texas",883751,909379,933882,956830,980241,995896
"Trinity County, Texas",11472,11537,11619,11632,11738,10931
"Tyler County, Texas",17228,17381,17417,17356,17387,16152
"Upshur County, Texas",30520,30797,30902,31204,31484,30954
"Upton County, Texas",2409,2498,2578,2701,2591,2452
"Uvalde County, Texas",19475,19549,19635,19623,19717,18193
"Val Verde County, Texas",34585,34782,34927,35025,35133,34086
"Van Zandt County, Texas",40776,41128,41700,42330,43030,45216
"Victoria County, Texas",67451,67907,68399,68625,68691,68003
"Walker County, Texas",59092,59926,60663,61520,61615,65174
"Waller County, Texas",35743,36709,37801,39301,40713,41980
"Ward County, Texas",8244,8291,8396,8436,8398,8034
"Washington County, Texas",27011,27204,27083,27462,27662,27797
"Webb County, Texas",175143,178245,180718,182613,184470,179733
"Wharton County, Texas",30604,30613,30733,30775,30801,30675
"Wheeler County, Texas",4174,4143,4058,3969,3866,3806
"Wichita County, Texas",102368,101975,102067,102166,102368,99936
"Wilbarger County, Texas",9974,9995,9995,9957,9877,9936
"Willacy County, Texas",16437,16457,16452,16394,16323,15554
"Williamson County, Texas",357732,372401,388150,405281,424492,441537
"Wilson County, Texas",34920,35545,36407,37124,38041,37459
"Winkler County, Texas",5410,5436,5441,5515,5517,5387
"Wise County, Texas",46390,47367,48496,49829,51130,50989
"Wood County, Texas",34727,34858,35299,35751,36405,36073
"Yoakum County, Texas",5632,5684,5744,5780,5775,5185
"Young County, Texas",13866,13744,13728,13660,13607,13520
"Zapata County, Texas",9488,9532,9534,9508,9487,9283
"Zavala County, Texas",8420,8509,8548,8483,8466,7014
"Beaver County, Utah",4360,4351,4377,4379,4453,4639
"Box Elder County, Utah",34635,35272,35921,36756,37629,38943
"Cache County, Utah",81934,83169,84738,86261,88110,91827
"Carbon County, Utah",15201,15062,14925,14988,15052,14889
"Daggett County, Utah",603,551,485,478,440,377
"Davis County, Utah",219577,224164,228931,233501,238282,244458
"Duchesne County, Utah",13167,13265,13322,13325,13219,13051
"Emery County, Utah",7208,7186,7130,7107,7143,7002
"Garfield County, Utah",3736,3828,3812,3803,3818,3867
"Grand County, Utah",7310,7423,7617,7611,7703,7749
"Iron County, Utah",33800,34381,35240,36501,37957,39888
"Juab County, Utah",6798,6948,7140,7396,7640,7632
"Kane County, Utah",5532,5547,5641,5721,5970,5988
"Millard County, Utah",8640,8675,8771,8846,8923,8806
"Morgan County, Utah",6799,7107,7328,7507,7712,7881
"Piute County, Utah",1420,1438,1462,1413,1478,1488
"Rich County, Utah",1531,1558,1496,1684,1642,1675
"Salt Lake County, Utah",783012,796227,809045,822233,835644,857963
"San Juan County, Utah",10447,10374,10423,10584,10668,10257
"Sanpete County, Utah",20725,21074,21591,22163,22698,21258
"Sevier County, Utah",14549,14614,14756,14933,15191,15204
"Summit County, Utah",28771,29507,30208,30896,31526,31982
"Tooele County, Utah",40674,41787,43279,45091,47012,48289
"Uintah County, Utah",23993,24064,24063,24041,23961,23922
"Utah County, Utah",368141,377473,388583,400941,414390,433261
"Wasatch County, Utah",18740,19754,20705,21669,22680,23467
"Washington County, Utah",109068,112439,116857,121651,127304,130921
"Wayne County, Utah",1961,1965,1993,1950,1994,1913
"Weber County, Utah",170899,173327,176462,179836,183431,186710
"Addison County, Vermont",30203,30223,30465,30541,30786,31101
"Bennington County, Vermont",29379,29113,29000,28941,28926,30152
"Caledonia County, Vermont",24553,24379,24420,24298,24236,24503
"Chittenden County, Vermont",130453,131295,132584,133505,134360,137649
"Essex County, Vermont",5044,5091,5095,5106,5112,4939
"Franklin County, Vermont",37329,37646,37885,38157,38327,38700
"Grand Isle County, Vermont",5656,5725,5730,5788,5857,5980
"Lamoille County, Vermont",19783,19823,20015,20151,20201,20644
"Orange County, Vermont",23261,23389,23489,23562,23560,23886
"Orleans County, Vermont",21596,21544,21627,21691,21562,21928
"Rutland County, Vermont",49130,48878,48678,48356,48176,49974
"Washington County, Vermont",47374,47290,47241,47268,47410,48511
"Windham County, Vermont",35398,35295,35221,35104,34998,37607
"Windsor County, Vermont",45399,45165,45181,45191,45197,47174
"Accomack County, Virginia",26148,25971,25861,25759,25796,26439
"Albemarle County, Virginia",82566,83367,84621,85682,86956,89021
"Alleghany County, Virginia",12821,12471,12347,12293,12175,12346
"Amelia County, Virginia",10075,10098,10077,10177,10213,10399
"Amherst County, Virginia",25562,25447,25560,25538,25569,25235
"Appomattox County, Virginia",11966,12119,12233,12357,12444,12536
"Arlington County, Virginia",187545,189832,191026,191897,193964,192861
"Augusta County, Virginia",59443,59644,60123,60709,61254,62175
"Bath County, Virginia",3682,3509,3680,3583,3618,3645
"Bedford County, Virginia",60874,61362,62146,62573,63205,63363
"Bland County, Virginia",5542,5478,5398,5354,5309,5288
"Botetourt County, Virginia",26440,26527,26647,26852,26980,27093
"Brunswick County, Virginia",13612,13455,13845,13763,13734,13394
"Buchanan County, Virginia",18986,18572,18159,17858,17727,17095
"Buckingham County, Virginia",13714,13797,13822,13928,13920,13781
"Campbell County, Virginia",43751,43973,44146,44210,44328,44441
"Caroline County, Virginia",22848,22997,23203,23387,23500,24000
"Carroll County, Virginia",23955,23925,24148,24175,24462,23806
"Charles City County, Virginia",5934,5891,5896,5928,5912,5786
"Charlotte County, Virginia",9571,9525,9496,9369,9312,9039
"Chesterfield County, Virginia",250444,254189,257655,261478,265513,273678
"Clarke County, Virginia",11213,11327,11342,11443,11665,11857
"Craig County, Virginia",4116,4155,4229,4155,4202,3828
"Culpeper County, Virginia",36602,37227,37745,38460,39256,39243
"Cumberland County, Virginia",7722,7791,7813,7877,7920,7761
"Dickenson County, Virginia",12177,12109,12003,11869,11730,11493
"Dinwiddie County, Virginia",22270,22169,22512,22649,22722,22173
"Essex County, Virginia",8868,8736,8779,8773,8924,8622
"Fairfax County, Virginia",861183,870996,873026,875647,879212,876892
"Fauquier County, Virginia",51740,52168,52796,53411,53996,55493
"Floyd County, Virginia",12371,12425,12530,12636,12756,12596
"Fluvanna County, Virginia",20579,20722,20986,21229,21485,21662
"Franklin County, Virginia",45210,45332,45353,45390,45575,44384
"Frederick County, Virginia",62897,64195,65369,66474,67871,69478
"Giles County, Virginia",13327,13423,13322,13305,13328,13340
"Gloucester County, Virginia",29412,29534,29675,29918,29938,30795
"Goochland County, Virginia",17709,18006,18336,18805,19309,20035
"Grayson County, Virginia",12473,12960,13095,13085,13039,12873
"Greene County, Virginia",14448,14516,14737,14821,15032,15504
"Greensville County, Virginia",9772,9676,9764,9719,9644,9688
"Halifax County, Virginia",27912,27749,27627,27488,27299,27236
"Hanover County, Virginia",78793,79809,81052,82166,83145,85207
"Henrico County, Virginia",246296,248538,250449,252502,254963,256450
"Henry County, Virginia",41702,41720,41452,41312,41079,41048
"Highland County, Virginia",1921,1929,1924,1946,1893,1927
"Isle of Wight County, Virginia",28352,28477,28718,28971,29304,30170
"James City County, Virginia",57157,58093,59034,59827,61004,62111
"King and Queen County, Virginia",5781,5703,5716,5677,5682,5431
"King George County, Virginia",18711,18970,19274,19582,20006,19963
"King William County, Virginia",12337,12526,12686,12912,13163,13512
"Lancaster County, Virginia",9321,9173,9126,9084,9008,9180
"Lee County, Virginia",20205,19822,19554,19526,19391,18349
"Loudoun County, Virginia",255952,265795,274157,282513,291222,297869
"Louisa County, Virginia",27179,27596,28092,28691,29236,29644
"Lunenburg County, Virginia",10092,10040,9977,10049,9863,9630
"Madison County, Virginia",10344,10354,10412,10458,10466,10894
"Mathews County, Virginia",7377,7468,7461,7495,7441,7152
"Mecklenburg County, Virginia",25222,25084,25045,24916,25002,24652
"Middlesex County, Virginia",9057,9044,9004,8949,8932,9068
"Montgomery County, Virginia",81677,82331,82639,82899,83274,83847
"Nelson County, Virginia",11891,12068,12085,12077,12203,12209
"New Kent County, Virginia",15779,16273,16725,17211,17907,18008
"Northampton County, Virginia",9717,9610,9585,9521,9504,9839
"Northumberland County, Virginia",10334,10371,10379,10378,10373,10160
"Nottoway County, Virginia",12524,12445,12479,12440,12392,12638
"Orange County, Virginia",27137,27510,27851,28061,28841,28371
"Page County, Virginia",18937,18862,18908,18961,19091,18949
"Patrick County, Virginia",14872,14726,14700,14621,14562,14583
"Pittsylvania County, Virginia",49915,49716,49649,49553,49422,49405
"Powhatan County, Virginia",22750,22985,23373,23543,23930,24520
"Prince Edward County, Virginia",19463,19142,19218,19209,19360,18462
"Prince George County, Virginia",29453,29602,29711,29815,29868,32798
"Prince William County, Virginia",319367,325891,330797,335572,340536,348261
"Pulaski County, Virginia",28064,28114,28056,28097,28054,27791
"Rappahannock County, Virginia",6051,6021,6022,6090,5979,6016
"Richmond County, Virginia",7371,7385,7381,7396,7423,7413
"Roanoke County, Virginia",74227,74163,74566,74847,75151,76844
"Rockbridge County, Virginia",18422,18454,18489,18574,18630,18608
