county,2016,2017,2018,2019,2020,2021
"Charlotte County, Florida",147445,150986,154789,158851,163563,162524
"Citrus County, Florida",119362,120138,121714,123624,126139,129077
"Clay County, Florida",151640,154247,157913,161700,165033,165770
"Collier County, Florida",284799,292784,299554,306859,314329,308884
"Columbia County, Florida",53248,53491,53954,54789,55549,54105
"DeSoto County, Florida",27844,28516,29254,29694,30158,27532
"Dixie County, Florida",13080,13264,13386,13587,13706,13619
"Duval County, Florida",694873,704409,714286,724134,734426,759743
"Escambia County, Florida",244717,244787,246269,247878,250446,251498
"Flagler County, Florida",84196,86306,88403,90969,93780,94648
"Franklin County, Florida",9771,9764,9817,9913,10033,10323
"Gadsden County, Florida",35852,35923,35931,35902,35840,34589
"Gilchrist County, Florida",13503,13646,14053,14216,14335,14130
"Glades County, Florida",11179,11039,11234,11436,11713,10424
"Gulf County, Florida",13328,13497,13422,13038,12889,12802
"Hamilton County, Florida",11649,11517,11552,11594,11648,11250
"Hardee County, Florida",19936,20042,20010,20020,19950,18901
"Hendry County, Florida",27738,28340,29334,29750,30355,28846
"Hernando County, Florida",143484,145632,148796,151898,155637,156399
"Highlands County, Florida",81337,82536,84428,85665,86894,83815
"Hillsborough County, Florida",1016146,1039380,1063125,1102618,1127710,1121562
"Holmes County, Florida",15634,15644,15628,15638,15616,15711
"Indian River County, Florida",119878,122500,125595,128694,131810,132826
"Jackson County, Florida",39593,39415,39439,39005,38638,38970
"Jefferson County, Florida",11690,11779,11785,11854,11961,11925
"Lafayette County, Florida",6925,6855,6778,6738,6879,6746
"Lake County, Florida",254407,261849,269793,278957,287831,302648
"Lee County, Florida",554230,571642,588695,605916,623344,619418
"Leon County, Florida",231178,232040,234088,235555,237443,236202
"Levy County, Florida",31700,31735,32013,32456,32976,34047
"Liberty County, Florida",6705,6837,6972,6969,6809,6478
"Madison County, Florida",14847,14967,14955,14998,15159,14676
"Manatee County, Florida",284604,293952,303374,312878,321892,322847
"Marion County, Florida",276425,279163,283084,287543,293005,300497
"Martin County, Florida",127603,129564,131354,132790,134288,132332
"Miami-Dade County, Florida",2115428,2149303,2160999,2146165,2153471,2139186
"Monroe County, Florida",65580,65139,64797,64343,63616,69494
"Nassau County, Florida",61378,62503,64418,66539,68762,70864
"Okaloosa County, Florida",152308,153609,156179,158543,161416,162335
"Okeechobee County, Florida",30440,31356,31713,32262,32750,31155
"Orange County, Florida",970174,998307,1024120,1048026,1069679,1098109
"Osceola County, Florida",233525,243760,254624,265287,274837,287076
"Palm Beach County, Florida",1124027,1148653,1166266,1183252,1199363,1196724
"Pasco County, Florida",388195,396198,406413,417804,430376,438499
"Pinellas County, Florida",779593,789712,798558,806403,814053,803292
"Polk County, Florida",492901,504936,518793,533359,549620,554196
"Putnam County, Florida",56510,56696,57140,57542,58024,57344
"St. Johns County, Florida",170202,176682,183958,191259,199842,207528
"St. Lucie County, Florida",232040,237217,243532,250263,257246,259936
"Santa Rosa County, Florida",126871,129387,132532,136155,140057,143571
"Sarasota County, Florida",338544,345102,352163,359114,366872,367897
"Seminole County, Florida",347410,352889,358208,363776,368603,368714
"Sumter County, Florida",105048,108160,112147,115954,120516,118206
"Suwannee County, Florida",34296,34361,34376,34475,34789,34127
"Taylor County, Florida",18230,18033,17862,17549,17513,17508
"Union County, Florida",12264,12406,12353,12381,12452,12938
"Volusia County, Florida",418650,425388,433326,441308,449747,451192
"Wakulla County, Florida",24738,25001,25048,25459,25983,26223
"Walton County, Florida",48940,50514,52459,54329,56557,58320
"Washington County, Florida",19703,19620,19691,19972,20231,20087
"Appling County, Georgia",13745,13836,13845,13863,13863,13901
"Atkinson County, Georgia",5904,5994,6001,6016,6088,6079
"Bacon County, Georgia",8349,8370,8359,8329,8293,8284
"Baker County, Georgia",2682,2596,2559,2476,2565,2392
"Baldwin County, Georgia",36924,36739,36588,36606,36622,35590
"Banks County, Georgia",14014,14092,14253,14361,14577,13966
"Barrow County, Georgia",53444,54840,56441,58246,60161,60810
"Bartow County, Georgia",76159,77007,78043,79274,80753,81883
"Ben Hill County, Georgia",12884,12865,12809,12759,12693,12946
"Berrien County, Georgia",14354,14449,14424,14504,14573,13742
"Bibb County, Georgia",115451,115566,115472,115586,115799,118401
"Bleckley County, Georgia",9973,10072,9981,10081,10340,10137
"Brantley County, Georgia",13717,13904,14079,14298,14368,13718
"Brooks County, Georgia",12220,12232,12199,12135,12120,12644
"Bryan County, Georgia",24179,24691,25363,26191,27063,30493
"Bulloch County, Georgia",58653,58923,59790,60904,62285,63656
"Burke County, Georgia",16811,16697,16659,16642,16699,18040
"Butts County, Georgia",18455,18578,18831,19153,19546,19884
"Calhoun County, Georgia",5225,5326,5278,5242,5198,4703
"Camden County, Georgia",39034,39315,39775,40414,40877,41029
"Candler County, Georgia",8200,8121,8111,8103,8127,8116
"Carroll County, Georgia",85969,87038,88161,89171,90496,90154
"Catoosa County, Georgia",50088,50382,50902,51322,51903,52204
"Charlton County, Georgia",10449,10436,10508,10504,10591,10122
"Chatham County, Georgia",220060,222734,224581,226410,228103,232423
"Chattahoochee County, Georgia",9139,8625,8450,8315,8277,7634
"Chattooga County, Georgia",19495,19242,19203,19227,19220,19291
"Cherokee County, Georgia",170525,175275,180696,185948,191752,198794
"Clarke County, Georgia",100783,102099,102948,104277,105040,106045
"Clay County, Georgia",2313,2312,2417,2387,2353,2330
"Clayton County, Georgia",193765,196756,200334,204016,207380,212369
"Clinch County, Georgia",4962,4980,4933,4962,4952,5015
"Cobb County, Georgia",548738,558636,564850,571389,578326,583920
"Coffee County, Georgia",32321,32462,32411,32462,32522,32484
"Colquitt County, Georgia",33628,33671,33551,33575,33749,33828
"Columbia County, Georgia",103359,106507,109473,112288,115154,114974
"Cook County, Georgia",12540,12711,12739,12781,12834,12801
"Coweta County, Georgia",100564,102836,105186,107720,110318,109881
"Crawford County, Georgia",9790,9731,9725,9699,9750,9569
"Crisp County, Georgia",17359,17300,17167,17197,17110,15638
"Dade County, Georgia",13196,13158,13160,13107,13096,13079
"Dawson County, Georgia",18033,18417,18855,19554,20233,20967
"Decatur County, Georgia",20468,20341,20236,20158,20147,21876
"DeKalb County, Georgia",551758,562768,568921,574477,580353,583319
"Dodge County, Georgia",16583,16752,16737,16723,16723,16174
"Dooly County, Georgia",11321,11431,11371,11303,11224,9575
"Dougherty County, Georgia",69221,68923,68948,68061,67547,66143
"Douglas County, Georgia",101052,102866,104450,105906,107470,106299
"Early County, Georgia",7860,7823,7770,7715,7678,8145
"Echols County, Georgia",2910,2871,3133,3100,2998,2847
"Effingham County, Georgia",40727,41712,42957,44361,45723,46539
"Elbert County, Georgia",15101,15040,15013,14977,14990,15217
"Emanuel County, Georgia",17046,16825,16843,16905,16922,17022
"Evans County, Georgia",7918,7911,7887,7863,7829,7888
"Fannin County, Georgia",19740,20224,20674,21153,21557,21086
"Fayette County, Georgia",83202,84091,85298,86090,87333,90517
"Floyd County, Georgia",73423,73809,74152,74689,75224,75524
"Forsyth County, Georgia",144918,150770,157730,164774,171714,178980
"Franklin County, Georgia",17292,17376,17556,17786,17967,18138
"Fulton County, Georgia",768158,779870,791630,806180,822358,826168
"Gilmer County, Georgia",22972,23604,24018,24472,25057,25078
"Glascock County, Georgia",2299,2329,2305,2313,2323,2261
"Glynn County, Georgia",63501,64413,65054,65760,66479,66113
"Gordon County, Georgia",41818,42145,42572,43108,43704,43458
"Grady County, Georgia",18798,18737,18710,18686,18613,19621
"Greene County, Georgia",13324,13504,13718,14053,14492,15076
"Gwinnett County, Georgia",630186,643774,654847,666336,676607,693334
"Habersham County, Georgia",33681,33856,34246,34608,35020,35423
"Hall County, Georgia",139780,142154,145010,147741,150566,151111
"Hancock County, Georgia",7425,7422,7327,7331,7575,7481
"Haralson County, Georgia",21637,21779,21930,22165,22549,22631
"Harris County, Georgia",25597,25846,26243,26641,27254,26908
"Hart County, Georgia",20095,20140,20252,20444,20632,20413
"Heard County, Georgia",8843,8913,8956,9070,9102,8813
